,address,address_point,school_address,school_point,distance,Study_at_home,Drive_a_car_truck_or_van,Passenger_in_a_car_truck_or_van,Train,Bicycle,Walk_or_jog,School_bus,Public_bus,Ferry,Other,Total
6181,Fairfield (Dunedin City),"(-45.9016140601653, 170.400797407614)",Mosgiel Central,"(-45.8786698621507, 170.347865492495)",4.8355471094176945,0,0,6,0,0,0,0,0,0,0,6
6182,Onehunga West,"(-36.9196555259547, 174.77421645442)",Epsom Central-South,"(-36.8967587540509, 174.767874075397)",2.6030962217472124,0,0,15,0,0,0,0,0,0,0,15
6183,Allenton North,"(-43.8820565823712, 171.745125620518)",Tinwald South,"(-43.9247881420589, 171.718221455982)",5.216731405394464,0,0,6,0,0,0,0,0,0,0,6
6184,Marewa East,"(-39.5074760445427, 176.906761972607)",Bluff Hill,"(-39.4808151702315, 176.915389129734)",3.0516324483513375,0,0,21,0,0,0,6,0,0,0,30
6185,Western Heights (Auckland),"(-36.8873806708066, 174.613138786123)",Henderson Lincoln East,"(-36.8559007811499, 174.634074249263)",3.9609040987302,0,0,21,0,0,0,0,0,0,0,21
6186,Waihou-Manawaru,"(-37.5977278742356, 175.768350535638)",Mangaiti,"(-37.5007361603084, 175.628671970765)",16.37783555100756,0,0,9,0,0,0,12,0,0,0,18
6187,Mount Taylor,"(-40.2014332608446, 175.555046523545)",Kimbolton South,"(-40.226306590805, 175.578015582189)",3.3839686430530387,0,0,12,0,0,0,0,0,0,0,12
6188,Linwood West,"(-43.5297622187424, 172.65902570133)",Christchurch Central-East,"(-43.5288127999746, 172.645528539488)",1.0961649362563064,0,0,30,0,9,36,0,0,0,0,75
6189,Watlington,"(-44.4062343766562, 171.232011317808)",Marchwiel West,"(-44.3795681184378, 171.224624843099)",3.021030392608724,0,0,15,0,0,0,0,6,0,0,21
6190,Pinehill ,"(-36.7313365577776, 174.723632652277)",Long Bay,"(-36.6894634819421, 174.73306961576)",4.722627816464705,0,0,0,0,0,0,0,0,0,0,9
6191,Te Maunga South,"(-37.6843112631356, 176.242996361217)",Bethlehem Central,"(-37.7065879039271, 176.114981182161)",11.557789041427414,0,0,0,0,0,0,12,0,0,0,12
6192,Mount Holdsworth,"(-40.9170966263527, 175.451364450191)",Kuripuni,"(-40.9516757911176, 175.643263441071)",16.6114119570407,0,6,12,0,0,0,15,6,0,0,42
6193,Tirohanga,"(-41.1982545060995, 174.905849662843)",Trentham South,"(-41.1489054409155, 175.04082560982)",12.582667910884853,0,0,0,0,0,0,0,0,0,0,9
6194,Ashburton North,"(-43.8917970745812, 171.789458663343)",Ashburton East,"(-43.9029367551325, 171.757998437588)",2.8144269662375936,0,0,6,0,0,0,9,0,0,0,18
6195,Crawshaw,"(-37.7720997185125, 175.234997520705)",Swarbrick,"(-37.7940412899745, 175.252195151229)",2.868097931612368,0,0,15,0,0,0,0,0,0,0,15
6196,Milton,"(-46.1216723368587, 169.967501818781)",Dunedin Central,"(-45.8771247112934, 170.502912214041)",49.58847075838037,0,6,0,0,0,0,0,0,0,0,9
6197,Maungati,"(-44.4996278743294, 170.939761749361)",Highfield North,"(-44.3861515650091, 171.223187329554)",25.847170135593085,0,0,0,0,0,0,0,0,0,0,12
6198,Kaitemako (Western Bay of Plenty District),"(-37.7824781336295, 176.199387803801)",Welcome Bay South,"(-37.7363742538903, 176.197435467861)",5.12004965335083,0,0,21,0,0,0,0,0,0,0,21
6199,Kensington (Timaru District),"(-44.4117460489885, 171.247262220239)",Timaru Central,"(-44.3983839942404, 171.251417501611)",1.5212413519084345,0,6,15,0,0,0,0,0,0,0,27
6200,Royal Oak (Palmerston North City),"(-40.3307415264615, 175.662593119051)",Milson South,"(-40.3344381807471, 175.605052248686)",4.906913902049084,0,0,15,0,0,0,0,0,0,0,21
6201,Kilbirnie Central,"(-41.3169431695911, 174.792678991307)",Pipitea-Kaiwharawhara,"(-41.2762482199777, 174.787726393494)",4.5385629530357905,0,0,0,0,0,0,0,15,0,0,24
6202,Unsworth Heights West,"(-36.7588638144866, 174.711302565964)",North Harbour,"(-36.746304740922, 174.715029746318)",1.432909341218708,0,0,12,0,0,0,0,0,0,0,12
6203,Epsom East,"(-36.8952899541851, 174.778258502479)",Mount Eden North East,"(-36.8691309660664, 174.765550255521)",3.116240879050491,0,0,0,0,0,0,0,27,0,0,30
6204,Glenwood,"(-44.3874493555697, 171.20852651512)",Fraser Park,"(-44.3959659253633, 171.230450714915)",1.9867234075014855,0,0,15,0,15,0,0,0,0,0,33
6205,Fairfield (Dunedin City),"(-45.9016140601653, 170.400797407614)",Dunedin Central,"(-45.8771247112934, 170.502912214041)",8.380274354385477,0,27,15,0,0,0,12,0,0,0,63
6206,West Otago,"(-45.835354223273, 169.212907020979)",Invercargill Central,"(-46.4148923864558, 168.328507310697)",93.9239129001507,0,6,0,0,0,0,0,0,0,0,6
6207,Mount Albert Central,"(-36.8834503423131, 174.723396651018)",Queen Street,"(-36.84774103961, 174.765249722554)",5.443496106040793,0,0,0,0,0,0,0,0,0,0,9
6208,Silverstream (Waimakariri District),"(-43.3787952085777, 172.637247577164)",Kaiapoi South,"(-43.3918232373523, 172.646648712911)",1.6356376665070345,0,0,0,0,0,0,0,0,0,0,12
6209,Wainoni,"(-43.5184516321592, 172.689822915456)",Aranui,"(-43.510603582444, 172.705323182291)",1.5267822654508079,0,0,12,0,0,0,0,0,0,0,9
6210,Chapel Downs,"(-36.9718724846529, 174.902140026645)",Highland Park (Auckland),"(-36.9047310408468, 174.909370892596)",7.4789131861681035,0,0,0,0,0,0,0,0,0,0,6
6211,Birkenhead North,"(-36.8073352792968, 174.726899865242)",Northcote South (Auckland),"(-36.8064930424159, 174.738539702171)",1.0428920515178162,0,0,15,0,0,54,0,0,0,0,75
6212,Waiake,"(-36.7066502641459, 174.744396696183)",Albany West,"(-36.7414673963809, 174.68787988426)",6.357566591583225,0,0,9,0,0,0,0,0,0,0,12
6213,Greerton South,"(-37.7276567915374, 176.125187135686)",Tauranga South,"(-37.708425903253, 176.156819614486)",3.512011278810753,0,0,21,0,0,0,6,0,0,0,39
6214,Conifer Grove West,"(-37.0486937042683, 174.912930138405)",Otara Central,"(-36.9559345561559, 174.876779937487)",10.78536045644705,0,9,0,0,0,0,0,0,0,0,12
