WKT,code,name,easting,northing,latitude,longitude
POINT (173.797675162704 -35.4079242227401),103500,Kaikohe,1672426.8724,6081426.04295,-35.40792422,173.79767516
POINT (173.984462871579 -35.3674663468183),103600,Pakaraka,1689431.87385,6085760.33675,-35.36746635,173.98446287
POINT (174.059212683747 -35.2793263636274),103700,Haruru,1696327.144,6095465.6992,-35.27932636,174.05921268
POINT (174.124466129521 -35.256537621232),103800,Russell,1702290.32955,6097927.8352,-35.25653762,174.12446613
POINT (174.093117922913 -35.2860989556669),103900,Paihia,1699402.40655,6094681.1088,-35.28609895,174.09311792
POINT (173.805365160792 -35.5471552652577),104000,Mataraua Forest,1672999.13575,6065978.46685,-35.54715526,173.80536516
POINT (173.952663066852 -35.4940640483593),104100,Matawaia-Taumarere,1686407.6311,6071747.7597,-35.49406405,173.95266307
POINT (174.162281844005 -35.2867910624543),104200,Russell Peninsula,1705691.19175,6094532.8277,-35.28679106,174.16228184
POINT (174.100026046345 -35.3227022884911),104300,Opua (Far North District),1699985.5716,6090614.5372,-35.32270229,174.10002605
POINT (174.226060343274 -35.3687917449512),104400,Russell Forest-Rawhiti,1711378.574,6085368.234,-35.36879174,174.22606034
POINT (174.025170657513 -35.3837217625385),104500,Moerewa,1693111.35565,6083919.92125,-35.38372176,174.02517066
POINT (174.075755044243 -35.378976739744),104600,Kawakawa,1697711.5911,6084397.408,-35.37897674,174.07575504
POINT (174.141327595982 -35.4782553557059),104700,Maromaku,1703540.68045,6073319.553,-35.47825535,174.1413276
POINT (174.002316403156 -35.6530195527594),104800,Mangakahia-Hukerenui,1690731.954,6054073.02735,-35.65301955,174.0023164
POINT (174.335011301275 -35.4899199940201),104900,Whangaruru,1721095.0401,6071805.3417,-35.48991999,174.3350113
POINT (174.346927274665 -35.370714000015),105000,Inlets other Whangarei District,1722356.1878,6085012.2931,-35.370714,174.34692727
POINT (174.209871574182 -35.6672874844791),105100,Matarau,1709501.6599,6052279.03065,-35.66728748,174.20987157
POINT (174.2871617517 -35.5944827981287),105200,Hikurangi,1716603.02045,6060265.3993,-35.5944828,174.28716175
POINT (174.154737291377 -35.7620637103629),105400,Maungatapere,1704387.71435,6041826.82675,-35.76206371,174.15473729
POINT (174.29507451879 -35.6700647555389),105500,Kamo West,1717209.45895,6051872.67155,-35.67006476,174.29507452
POINT (174.478022265969 -35.5979283192852),105600,Matapouri-Tutukaka,1733888.359,6059640.3206,-35.59792832,174.47802227
POINT (174.402874232051 -35.6467495808253),105700,Kiripaka,1727003.2922,6054324.79145,-35.64674958,174.40287423
POINT (174.309802457407 -35.67747272546),105800,Kamo East,1718531.51515,6051033.3223,-35.67747272,174.30980246
POINT (174.295058234125 -35.6901506506033),105900,Granfield Reserve,1717178.60885,6049644.80695,-35.69015065,174.29505823
POINT (174.304915519315 -35.684862548829),106000,Kamo Central,1718078.35305,6050219.5446,-35.68486255,174.30491552
POINT (174.29580182255 -35.7052007957677),106100,Whau Valley,1717223.8601,6047974.585,-35.70520079,174.29580182
POINT (174.323047719497 -35.6808513630826),106200,Tikipunga North,1719725.17495,6050642.5042,-35.68085136,174.32304772
POINT (174.255022982635 -35.7464466847373),106300,Pukenui,1713476.11335,6043447.60605,-35.74644668,174.25502298
POINT (174.317699628016 -35.6932977614664),106400,Otangarei,1719222.66335,6049268.47775,-35.69329776,174.31769963
POINT (174.33166497108 -35.6945773120808),106500,Tikipunga South,1720484.3659,6049109.50315,-35.69457731,174.33166497
POINT (174.308332346842 -35.7131013720337),106600,Kensington (Whangarei District),1718345.8072,6047083.22685,-35.71310137,174.30833235
POINT (174.361229362305 -35.7039902527805),106700,Abbey Caves-Glenbervie,1723144.9311,6048028.74265,-35.70399025,174.36122936
POINT (174.324304533576 -35.7045142536357),106800,Mairtown,1719803.51255,6048016.31955,-35.70451425,174.32430453
POINT (174.290371273338 -35.7375713593824),106900,Maunu-Horahora,1716685.3432,6044390.56295,-35.73757136,174.29037127
POINT (174.309552641214 -35.7270350034189),107000,Woodhill-Vinetown,1718435.56895,6045536.25365,-35.727035,174.30955264
POINT (174.324303218891 -35.7284699468918),107100,Whangarei Central,1719767.5343,6045359.1823,-35.72846995,174.32430322
POINT (174.339645548961 -35.7259937476352),107200,Riverside,1721158.8975,6045615.0001,-35.72599375,174.33964555
POINT (174.298963023356 -35.7496880434782),107300,Raumanga,1717444.5161,6043036.33625,-35.74968804,174.29896302
POINT (174.309037566487 -35.7418304968564),107400,Tarewa,1718367.08155,6043895.7743,-35.7418305,174.30903757
POINT (174.320056733565 -35.7363877643399),107500,Morningside (Whangarei District),1719371.6494,6044486.12135,-35.73638776,174.32005673
POINT (174.514743892461 -35.624625009059),107600,Ngunguru,1737169.48365,6056628.53745,-35.62462501,174.51474389
POINT (174.285755800832 -35.7810475837077),107700,Otaika-Portland,1716204.70345,6039573.70095,-35.78104758,174.2857558
POINT (174.21595620736 -35.8958869550758),107800,Oakleigh-Mangapai,1709737.7061,6026916.311,-35.89588695,174.21595621
POINT (174.33075177837 -35.7492734485087),107900,Port-Limeburners,1720319.454,6043043.77845,-35.74927345,174.33075178
POINT (174.427944250944 -35.696951950762),108000,Pataua,1729192.1068,6048723.67735,-35.69695195,174.42794425
POINT (174.372598288183 -35.752464246045),108100,Onerahi Park,1724098.2649,6042637.69355,-35.75246425,174.37259829
POINT (174.361807400575 -35.7486833976949),108200,Sherwood Rise,1723128.4135,6043070.6712,-35.7486834,174.3618074
POINT (174.363527000614 -35.7661749677456),108300,Onerahi,1723256.91515,6041128.3423,-35.76617497,174.363527
POINT (174.410732935002 -35.8017565180132),108400,Inlet Whangarei Harbour,1727467.5637,6037121.1912,-35.80175652,174.41073294
POINT (174.428122574563 -35.7600184457819),108500,Parua Bay,1729106.40195,6041728.0661,-35.76001844,174.42812257
POINT (174.383903188392 -35.9149680111562),108600,Bream Bay,1724865.48425,6024598.11325,-35.91496801,174.38390319
POINT (174.486868976444 -35.8434432278654),108700,Marsden Bay,1734277.11,6032395.3797,-35.84344323,174.48686898
POINT (174.457274976055 -35.8786962341749),108800,Ruakaka,1731546.05455,6028525.21685,-35.87869623,174.45727498
POINT (174.535918752899 -35.8191311174678),108900,Bream Head,1738749.38975,6035023.73555,-35.81913112,174.53591875
POINT (174.45082084737 -36.0333041236323),109000,Waipu,1730708.37245,6011384.01345,-36.03330412,174.45082085
POINT (173.651242894448 -35.7290018131257),109100,Kaipara Coastal,1658895.53575,6045913.06575,-35.72900181,173.65124289
POINT (173.970891532516 -35.876962872482),109200,Maungaru,1687641.19085,6029262.82865,-35.87696287,173.97089153
POINT (173.865240446894 -35.9392015813502),109300,Dargaville,1678042.8082,6022449.07015,-35.93920158,173.86524045
POINT (174.146497814786 -36.0847705929162),109400,Ruawai-Matakohe,1703222.55065,6006040.8644,-36.08477059,174.14649781
POINT (174.323319960927 -36.2062241063147),109500,Otamatea (Kaipara District),1718959.61345,5992366.32825,-36.20622411,174.32331996
POINT (174.346939161641 -36.1095245801138),109600,Maungaturoto,1721231.7843,6003063.6784,-36.10952458,174.34693916
POINT (174.419543691649 -36.2014473846109),109700,Kaiwaka,1727617.90595,5992773.8721,-36.20144738,174.41954369
POINT (174.54557961114 -36.1173827619587),109800,Mangawhai Rural,1739097.8832,6001925.93945,-36.11738276,174.54557961
POINT (174.584066655292 -36.0944202743657),109900,Mangawhai Heads,1742603.3887,6004417.3813,-36.09442027,174.58406666
POINT (174.593777075685 -36.1179351511928),110000,Inlet Mangawhai Harbour,1743434.85565,6001794.59395,-36.11793515,174.59377708
POINT (174.57648718185 -36.1248629663319),110100,Mangawhai,1741866.2306,6001051.4766,-36.12486297,174.57648718
POINT (174.478316387992 -36.3161433664352),110200,Okahukura Peninsula,1732707.76105,5979971.63635,-36.31614337,174.47831639
POINT (174.326612156789 -36.4536571850618),110300,Inlet Kaipara Harbour South,1718879.01155,5964914.61085,-36.45365718,174.32661216
POINT (174.626380465955 -36.2543382254981),110400,Cape Rodney,1746115.63755,5986614.5461,-36.25433822,174.62638047
POINT (174.521527818784 -36.292848301425),110500,Wellsford,1736627.74195,5982495.6469,-36.2928483,174.52152782
POINT (175.168774565513 -36.2714492933177),110600,Oceanic Auckland Region East,1794808.5129,5983761.3101,-36.27144929,175.16877457
POINT (174.312273735217 -36.5935320407266),110700,South Head,1717382.5173,5949415.471,-36.59353204,174.31227374
POINT (174.488819472841 -36.4634866336059),110800,Kaipara Hills,1733398.64385,5963611.93615,-36.46348663,174.48881947
POINT (174.686699214971 -36.340978150824),110900,Dome Valley-Matakana,1751367.65415,5976910.488,-36.34097815,174.68669921
POINT (174.297047335762 -36.9029129694651),111000,Oceanic Auckland Region West,1715555.51375,5915112.26645,-36.90291297,174.29704734
POINT (174.651600731686 -36.3889322799467),111100,Warkworth West,1748126.63405,5971645.08355,-36.38893228,174.65160073
POINT (174.624752333545 -36.4685091206735),111200,Puhoi Valley,1745569.8,5962858.01835,-36.46850912,174.62475233
POINT (174.667919425365 -36.4052869176492),111300,Warkworth East,1749558.97805,5969805.60325,-36.40528692,174.66791942
POINT (174.698547245061 -36.397779007943),111400,Sandspit,1752320.2081,5970590.60325,-36.39777901,174.69854725
POINT (174.791830128713 -36.365961810629),111500,Tawharanui Peninsula,1760751.80615,5973969.07965,-36.36596181,174.79183013
POINT (174.483961163394 -36.6034440257698),111600,Te Kuru,1732723.87045,5948092.4107,-36.60344402,174.48396116
POINT (174.725188706073 -36.4202418404393),111700,Snells Beach,1754664.9923,5968056.26615,-36.42024184,174.72518871
POINT (175.423163674045 -36.201098013611),111800,Barrier Islands,1817857.97415,5991024.6205,-36.20109801,175.42316367
POINT (174.746103718756 -36.4569653731224),111900,Algies Bay-Scotts Landing,1756466.4494,5963948.49215,-36.45696537,174.74610372
POINT (175.40866062485 -36.2734814360495),112000,Inlets other Auckland,1816354.1321,5983026.2655,-36.27348144,175.40866062
POINT (174.563415094644 -36.5851435521726),112100,Wainui-Waiwera,1739863.6782,5950009.90515,-36.58514355,174.56341509
POINT (174.435992889139 -36.6576346249055),112200,Parakai,1728343.45705,5942145.9004,-36.65763462,174.43599289
POINT (174.498699504037 -36.6495234762322),112300,Helensville Rural,1733962.3473,5942960.0163,-36.64952348,174.4986995
POINT (174.454252722294 -36.6749691482893),112400,Helensville,1729946.3976,5940198.2722,-36.67496915,174.45425272
POINT (174.584234625916 -36.6373475895948),112500,Waitoki,1741630.81325,5944187.9736,-36.63734759,174.58423463
POINT (174.515741106192 -36.7098919809039),112600,Waikoukou Valley,1735379.86875,5936238.8997,-36.70989198,174.51574111
POINT (174.675864633945 -36.5810886539593),112700,Orewa North,1749932.10865,5950290.20415,-36.58108865,174.67586463
