WKT,SA22018_V1_00,SA22018_V1_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,EASTING,NORTHING,LATITUDE,LONGITUDE,Shape_X,Shape_Y
"POINT (172.968539081423 -43.8071260509032)",333500,Akaroa,2.03197111,2.03197111,1597469.4921,5149548.4001,-43.80712605,172.96853908,172.968539081,-43.8071260509
"POINT (171.787135743782 -43.4828866528244)",333800,Glenroy-Hororata,644.35234022,644.35234022,1501918.71395,5184844.7692,-43.48288665,171.78713574,171.787135744,-43.4828866528
"POINT (172.013645577569 -43.4731808777225)",333900,Glentunnel,159.68294866,159.68294866,1520223.33615,5186164.61895,-43.47318088,172.01364558,172.013645578,-43.4731808777
"POINT (172.099916960724 -43.4979611672124)",334000,Darfield,15.14334504,15.14334504,1527230.781,5183491.59545,-43.49796117,172.09991696,172.099916961,-43.4979611672
"POINT (172.1996651458 -43.474843850704)",334100,Kirwee,97.18899601,97.18899601,1535270.49405,5186141.34335,-43.47484385,172.19966515,172.199665146,-43.4748438507
"POINT (172.037415747925 -43.6585748489016)",334200,Bankside,359.56266705,359.56266705,1522384.3086,5165597.2376,-43.65857485,172.03741575,172.037415748,-43.6585748489
"POINT (172.150865181587 -43.5645902678768)",334300,Charing Cross,168.67829573,168.67829573,1531425.3585,5176135.09715,-43.56459027,172.15086518,172.150865182,-43.5645902679
"POINT (172.350288225111 -43.4923711438042)",334400,Halkett,86.01209703,86.01209703,1547467.81415,5184300.86395,-43.49237114,172.35028822,172.350288225,-43.4923711438
"POINT (172.319447431108 -43.5694117184124)",334500,Newtons Road,153.13724441,153.13724441,1545044.18685,5175724.88555,-43.56941172,172.31944743,172.319447431,-43.5694117184
"POINT (172.365187216932 -43.5256962322846)",334600,West Melton,5.31955822,5.31955822,1548700.70135,5180609.12115,-43.52569623,172.36518722,172.365187217,-43.5256962323
"POINT (172.30295865871 -43.6151388891131)",334700,Burnham Camp,1.49394208,1.49394208,1543755.2891,5170635.38095,-43.61513889,172.30295866,172.302958659,-43.6151388891
"POINT (172.371000144212 -43.5840020054761)",334800,Rolleston Izone,2.4344747,2.4344747,1549219.43065,5174137.28135,-43.584002,172.37100014,172.371000144,-43.5840020055
"POINT (172.363406699742 -43.6008634834737)",334900,Rolleston North West,1.50658247,1.50658247,1548620.7406,5172259.97435,-43.60086348,172.3634067,172.3634067,-43.6008634835
"POINT (172.375565914808 -43.655580553559)",335000,Springston,119.11983506,119.11983506,1549647.80745,5166190.49695,-43.65558055,172.37556591,172.375565915,-43.6555805536
"POINT (172.375698150866 -43.6004964216046)",335100,Rolleston Central,1.60115417,1.60115417,1549612.47565,5172308.26855,-43.60049642,172.37569815,172.375698151,-43.6004964216
"POINT (172.396025871635 -43.5905954288163)",335200,Rolleston North East,2.85581003,2.85581003,1551245.13985,5173420.0031,-43.59059543,172.39602587,172.396025872,-43.5905954288
"POINT (172.374585226645 -43.6149096976328)",335300,Rolleston South West,3.59540141,3.59540141,1549534.7031,5170706.8477,-43.6149097,172.37458523,172.374585227,-43.6149096976
"POINT (172.210238443976 -43.792544116877)",335400,Southbridge,361.56215613,361.56215613,1536461.2724,5150865.3443,-43.79254412,172.21023844,172.210238444,-43.7925441169
"POINT (172.4018365265 -43.610581759933)",335500,Rolleston South East,10.0825634,10.0825634,1551730.1783,5171203.7079,-43.61058176,172.40183653,172.401836527,-43.6105817599
"POINT (172.464875540067 -43.5954192069169)",335600,Trents,49.95590515,49.95590515,1556806.37985,5172922.36805,-43.59541921,172.46487554,172.46487554,-43.5954192069
"POINT (172.507836289668 -43.5786533330075)",335700,Prebbleton,5.09915618,5.09915618,1560263.0178,5174805.8221,-43.57865333,172.50783629,172.50783629,-43.578653333
"POINT (172.338156468545 -43.7259811224915)",335800,Irwell,128.19291077,128.19291077,1546693.625,5158348.28495,-43.72598112,172.33815647,172.338156469,-43.7259811225
"POINT (172.524763780889 -43.6393504842295)",335900,Ladbrooks,50.03921061,50.03921061,1561668.3003,5168072.72845,-43.63935048,172.52476378,172.524763781,-43.6393504842
"POINT (172.477911992802 -43.6434557121953)",336000,Lincoln West,4.07104192,4.07104192,1557892.18155,5167594.0994,-43.64345571,172.47791199,172.477911993,-43.6434557122
"POINT (172.493691686759 -43.6385329963593)",336100,Lincoln East,4.98780517,4.98780517,1559161.52415,5168148.70415,-43.638533,172.49369169,172.493691687,-43.6385329964
"POINT (172.296619381607 -43.7602355964098)",336200,Leeston,2.43680163,2.43680163,1543380.4206,5154516.3233,-43.7602356,172.29661938,172.296619382,-43.7602355964
"POINT (172.584482877499 -43.6662486897097)",336300,Tai Tapu,56.81296556,56.81296556,1566500.0949,5165111.2228,-43.66624869,172.58448288,172.584482877,-43.6662486897
"POINT (172.526932094308 -43.7190867388046)",336400,Motukarara,64.6356206,64.6356206,1561893.69025,5159218.0818,-43.71908674,172.52693209,172.526932094,-43.7190867388
"POINT (172.446047296703 -43.7799741969169)",336500,Inland water Lake Ellesmere/Te Waihora North,0,134.96409616,1555423.50555,5152415.3707,-43.7799742,172.4460473,172.446047297,-43.7799741969
"POINT (171.129452830878 -43.4494044080348)",336600,Ashburton Lakes,2995.11403346,3002.08021355,1448649.1543,5187578.2699,-43.44940441,171.12945283,171.129452831,-43.449404408
"POINT (171.773554589638 -43.6645563371335)",336700,Cairnbrae,542.75534356,542.75534356,1501118.16995,5164652.2998,-43.66455634,171.77355459,171.77355459,-43.6645563371
"POINT (171.431819814027 -43.7849225786346)",336800,Ashburton Forks,858.450443,858.450443,1473818.566,5150819.8742,-43.78492258,171.43181981,171.431819814,-43.7849225786
"POINT (171.642679844585 -43.6330193501068)",336900,Methven,4.1828788,4.1828788,1490509.05515,5167990.57995,-43.63301935,171.64267984,171.642679845,-43.6330193501
"POINT (171.49741747783 -44.036563733838)",337000,Ealing-Lowcliffe,413.21879132,413.21879132,1479605.30175,5122968.59905,-44.03656373,171.49741748,171.497417478,-44.0365637338
"POINT (171.665005189232 -43.9589770449742)",337100,Eiffelton,434.14812511,435.0101071,1492893.8903,5131817.2476,-43.95897704,171.66500519,171.665005189,-43.958977045
"POINT (171.966464857488 -43.8250624849201)",337200,Chertsey,572.5114468,572.5114468,1516893.96555,5147037.7183,-43.82506248,171.96646486,171.966464857,-43.8250624849
"POINT (171.828290968397 -43.9631859823731)",337300,Winchmore-Wakanui,312.07342774,312.07342774,1506000.9557,5131548.7247,-43.96318598,171.82829097,171.828290968,-43.9631859824
"POINT (171.745125620518 -43.8820565823712)",337400,Allenton North,2.09646454,2.09646454,1499192.14715,5140461.4577,-43.88205658,171.74512562,171.745125621,-43.8820565824
"POINT (171.732326630363 -43.8905411617382)",337500,Allenton South,2.92674293,2.92674293,1498178.4148,5139503.4118,-43.89054116,171.73232663,171.73232663,-43.8905411617
"POINT (172.009034253988 -43.7470063727695)",337600,Rakaia,11.30243187,11.30243187,1520213.19995,5155748.8505,-43.74700637,172.00903425,172.009034254,-43.7470063728
"POINT (171.789458663343 -43.8917970745812)",337700,Ashburton North,20.64835871,20.64835871,1502769.4243,5139432.73615,-43.89179707,171.78945866,171.789458663,-43.8917970746
"POINT (171.757564462236 -43.8911829961953)",337800,Allenton East,1.23583513,1.23583513,1500206.64335,5139462.91525,-43.89118299,171.75756446,171.757564462,-43.8911829962
"POINT (171.723703654096 -43.9126432709363)",337900,Tinwald North,1.90350508,1.90350508,1497523.72295,5137037.9354,-43.91264327,171.72370365,171.723703654,-43.9126432709
"POINT (171.73537845723 -43.9025248069315)",338000,Ashburton Central,2.56294965,2.56294965,1498443.9164,5138176.182,-43.90252481,171.73537846,171.735378457,-43.9025248069
"POINT (171.744312282528 -43.8985464456594)",338100,Ashburton West,0.45251256,0.45251256,1499154.64045,5138628.98995,-43.89854645,171.74431228,171.744312283,-43.8985464457
"POINT (171.718221455982 -43.9247881420589)",338200,Tinwald South,2.79302474,2.79302474,1497104.47895,5135682.22095,-43.92478814,171.71822146,171.718221456,-43.9247881421
"POINT (171.757998437588 -43.9029367551325)",338300,Ashburton East,0.77867241,0.77867241,1500261.1249,5138157.98635,-43.90293675,171.75799844,171.757998438,-43.9029367551
"POINT (171.765810853344 -43.9002562139889)",338400,Netherby,1.09301884,1.09301884,1500884.05675,5138465.10825,-43.90025621,171.76581085,171.765810853,-43.900256214
"POINT (171.75646729191 -43.9115886348884)",338500,Hampstead,1.44102643,1.44102643,1500152.6313,5137195.19805,-43.91158863,171.75646729,171.756467292,-43.9115886349
"POINT (170.890875819677 -43.6846930866715)",338600,Ben McLeod,842.33844674,842.33844674,1430008.08615,5160985.1027,-43.68469309,170.89087582,170.89087582,-43.6846930867
"POINT (171.057977286429 -44.0604499714107)",338700,Arundel,629.02155184,629.02155184,1444457.20195,5119579.57435,-44.06044997,171.05797729,171.057977286,-44.0604499714
"POINT (171.014462418624 -44.2718929242656)",338800,Levels Valley,386.37837236,386.37837236,1441539.19845,5096010.8495,-44.27189292,171.01446242,171.014462419,-44.2718929243
"POINT (171.238541667729 -44.0941033761432)",338900,Geraldine,3.12428733,3.12428733,1458999.30775,5116166.8075,-44.09410338,171.23854167,171.238541668,-44.0941033761
"POINT (171.325757260889 -44.1103561785852)",339000,Rangitata,172.13496449,172.13496449,1466017.5049,5114507.2834,-44.11035618,171.32575726,171.325757261,-44.1103561786
"POINT (171.378333912417 -44.185395973978)",339100,Waitohi (Timaru District),371.7067362,371.7067362,1470389.3812,5106256.7143,-44.18539597,171.37833391,171.378333912,-44.185395974
"POINT (171.136009695988 -44.2566216428684)",339200,Pleasant Point,5.20861353,5.20861353,1451201.1482,5097934.66645,-44.25662164,171.1360097,171.136009696,-44.2566216429
"POINT (171.276600853981 -44.2369715434634)",339300,Temuka West,4.07247318,4.07247318,1462378.55155,5100362.56235,-44.23697154,171.27660085,171.276600854,-44.2369715435
"POINT (171.146765873308 -44.3727875149006)",339400,Hadlow,93.74349643,93.74349643,1452351.46685,5085050.93895,-44.37278751,171.14676587,171.146765873,-44.3727875149
"POINT (171.255263626443 -44.2943329570179)",339500,Levels,88.02671305,88.02671305,1460810.12345,5093955.19205,-44.29433296,171.25526363,171.255263626,-44.294332957
"POINT (171.297836772194 -44.2472592165506)",339600,Temuka East,4.29807188,4.29807188,1464098.04465,5099255.24635,-44.24725922,171.29783677,171.297836772,-44.2472592166
"POINT (171.185388931451 -44.3730615225455)",339700,Gleniti North,5.45840411,5.45840411,1455429.2931,5085089.4057,-44.37306152,171.18538893,171.185388931,-44.3730615225
"POINT (171.247813357631 -44.3533336162667)",339800,Washdyke,10.6574112,10.6574112,1460355.83555,5087388.99835,-44.35333362,171.24781336,171.247813358,-44.3533336163
"POINT (171.175258210569 -44.4401561215674)",339900,Fairview,98.36799446,98.36799446,1454788.3102,5077618.80735,-44.44015612,171.17525821,171.175258211,-44.4401561216
"POINT (171.196365868205 -44.3836929051908)",340000,Gleniti South,1.73695036,1.73695036,1456329.84405,5083927.8269,-44.3836929,171.19636587,171.196365868,-44.3836929052
"POINT (171.20852651512 -44.3874493555697)",340100,Glenwood,1.04957951,1.04957951,1457307.64775,5083531.8372,-44.38744935,171.20852652,171.208526515,-44.3874493556
"POINT (171.224624843099 -44.3795681184378)",340200,Marchwiel West,0.84044417,0.84044417,1458570.9228,5084435.1855,-44.37956812,171.22462484,171.224624843,-44.3795681184
"POINT (171.235345383889 -44.3770471603531)",340300,Marchwiel East,0.93109585,0.93109585,1459418.90985,5084733.6628,-44.37704716,171.23534538,171.235345384,-44.3770471604
